               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.014595,           0.0028526,                   0,              0.9969,             0.99692,             0.99497,             0.81537,            0.014939,           0.0024168,                   0,           0.0073155,           0.0073155,           0.0073155
                 120,            0.014601,           0.0027869,                   0,             0.99998,             0.99077,               0.995,              0.8136,            0.015026,           0.0024627,                   0,           0.0072758,           0.0072758,           0.0072758
                 121,             0.01455,           0.0026779,                   0,             0.99082,             0.99692,             0.99497,             0.81376,            0.015031,            0.002457,                   0,           0.0072361,           0.0072361,           0.0072361
                 122,            0.014554,           0.0027686,                   0,             0.99385,             0.99692,             0.99497,              0.8195,            0.014737,           0.0023756,                   0,           0.0071962,           0.0071962,           0.0071962
                 123,            0.014651,           0.0027918,                   0,             0.99692,              0.9969,             0.99497,             0.81979,            0.014861,           0.0023943,                   0,           0.0071561,           0.0071561,           0.0071561
                 124,            0.014493,           0.0027742,                   0,             0.99691,             0.99381,             0.99494,             0.81778,            0.014945,           0.0023993,                   0,            0.007116,            0.007116,            0.007116
                 125,            0.014363,           0.0026536,                   0,             0.99686,             0.99385,             0.99485,             0.81553,            0.014999,           0.0024217,                   0,           0.0070757,           0.0070757,           0.0070757
                 126,            0.014874,           0.0027087,                   0,             0.99386,             0.99692,             0.99472,              0.8188,             0.01493,           0.0024211,                   0,           0.0070353,           0.0070353,           0.0070353
                 127,            0.014464,           0.0027636,                   0,             0.99387,             0.99692,             0.99481,             0.81525,            0.014865,           0.0024296,                   0,           0.0069948,           0.0069948,           0.0069948
                 128,             0.01439,           0.0027404,                   0,              0.9969,             0.99385,             0.99494,             0.81343,            0.014842,           0.0023984,                   0,           0.0069541,           0.0069541,           0.0069541
                 129,            0.014437,           0.0027238,                   0,             0.99384,             0.99692,             0.99497,             0.81623,            0.014882,           0.0023782,                   0,           0.0069134,           0.0069134,           0.0069134
                 130,            0.014382,           0.0027825,                   0,             0.99385,             0.99692,             0.99497,             0.81404,            0.014857,           0.0023776,                   0,           0.0068726,           0.0068726,           0.0068726
                 131,            0.014314,           0.0028155,                   0,             0.99386,             0.99692,             0.99494,             0.81231,             0.01486,           0.0023815,                   0,           0.0068316,           0.0068316,           0.0068316
                 132,            0.014383,           0.0027392,                   0,             0.99387,             0.99692,             0.99494,             0.81323,            0.015105,           0.0024289,                   0,           0.0067906,           0.0067906,           0.0067906
                 133,            0.014265,           0.0027047,                   0,             0.99083,             0.99692,             0.99494,             0.81329,            0.015211,           0.0024592,                   0,           0.0067495,           0.0067495,           0.0067495
                 134,            0.014179,           0.0026803,                   0,             0.99386,             0.99691,             0.99494,             0.81405,            0.015178,           0.0024505,                   0,           0.0067083,           0.0067083,           0.0067083
